code,EPF,ELT,ERC,EFF
A0220200,-0.9949327671459068,82.0,-0.9982461687451756,-0.9942307596803956
A0220200,-0.949137689008462,0.0,-0.980639126624105,-0.950394356628007
A0220200,-0.9072207287904156,-1.0,-0.8432244964575429,-0.8983498009931837
A0220200,-0.7611632085282688,-2.0,-0.7099855510922524,-0.7653720383802808
A0220200,-0.7766852919595044,-4.0,-0.7652339909719748,-0.8194650190074985
A0220200,-0.7802379857730931,-2.0,-0.685895423371297,-0.7332890383340345
A0220200,-0.5225543476667357,46.0,-0.3056796928229403,-0.4984152859808116
A0220200,-0.5454622811572793,1.0,-0.3656003712194081,-0.545992777156413
A0220200,-0.3296027283429693,1.0,-0.3226104637699334,-0.3319939160207512
A0220200,-0.7640059763147786,-4.0,-0.4401805230490316,-0.622579176880512
A0220200,-0.3468453670730097,-1.0,-0.2537026973816255,-0.2875369043735557
A0220200,-0.4237009821854391,4.0,-0.1546303040743605,-0.2919968387074046
A0220200,-0.0987390328270456,0.0,-0.0287544156471594,0.2787369390720802
A0220200,-0.3192462390133007,8.0,-0.2494664428814414,-0.2819444097190431
A0220200,-0.9941406371717402,-65.0,-0.7234215687090948,-0.95818072208472
A0220200,-0.7395538935313959,-1.0,-0.6925596238213625,-0.6917347566184399
A0220200,-0.3636271118716631,4.0,-0.1112338844854612,-0.2493890943637086
A0220200,-0.6751506811357881,2.0,-0.222167528274764,-0.365169313484299
A0220200,-0.4566969576393553,-1.0,-0.1225194892647173,-0.2168269012783451
A0220200,-0.2220709872598475,1.0,0.0827442959575863,0.0903446498630022
A0220200,-0.1063970536025138,10.0,0.0668514190905067,0.1448072643805975
A0220200,0.5123895917619978,0.0,0.1647619260266728,0.521257271008263
A0220200,-0.5255911885559084,0.0,-0.1268925436645889,-0.2570304453626206
A0220200,-0.3112114490073061,1.0,0.1195673662786176,0.2429956076533546
A0220200,-0.4741241931915283,2.0,-0.5098761242409107,-0.526214139507847
A0220200,-0.7421460268034732,73.0,-0.2566851495842102,-0.4013968689633795
A0220200,-0.0036885571721468,0.0,0.5991820173795939,0.2606458326399663
A0220200,0.4543378572632981,0.0,0.7541726550408914,0.5421231126363044
A0220200,-0.4428577174788972,1.0,0.014522992916772,-0.3665816795088812
A0220200,-0.5292353138959605,-1.0,0.0260834683222213,-0.2580186777778486
A0220200,-0.3852167416700434,1.0,0.0327624401355308,-0.0945998083967987
A0220200,-0.2249938315774997,-2.0,0.0644061149311878,-0.0081361364261561
A0220200,0.4524647668120638,0.0,1.5390750228199512,0.6456509158088077
A0220200,-0.7891056834266463,1.0,-0.0940399141998454,-0.4834484823966416
A0220200,-0.3180899512346242,0.0,0.1375051317068667,-0.0600594297430144
A0220200,-0.1935541252882899,0.0,0.0768016529696702,0.1333257696770775
A0220200,-0.4265607084846391,0.0,-0.2432637250238407,-0.2461564066809808
A0220200,-0.8102760525894493,-12.0,-0.1440913778828116,-0.4633350969979648
A0220200,-0.7493238265057103,36.0,0.5996788079330113,0.085395147675843
A0220200,0.164701853599519,0.0,0.4045459293917617,0.343552665426442
E3346020,-0.9377256137593878,-3.0,-0.930639804619529,-0.8993350161596978
E3346020,-0.7083871788362454,-4.0,-0.5326009228958772,-0.6230680085820421
E3346020,-0.2602278897460605,-3.0,-0.0537371750838905,-0.0794394534068945
E3346020,0.2484711525816831,-1.0,0.1076701669954192,0.8000755677783655
E3346020,-0.7630033255964522,-3.0,-0.543885219464848,-0.6372509792688992
E3346020,-0.5797965151861161,-2.0,-0.3907475014643596,-0.3866011057370734
E3346020,-0.660254114032365,-2.0,-0.4443934585613975,-0.4364436316633568
E3346020,-0.0763104910921813,1.0,0.6622009818070105,0.7427905559269878
E3346020,-0.4891583888128163,1.0,0.2926361313726255,-0.2678593938733563
E3346020,-0.0224907346636876,0.0,0.168479659679587,0.583610664009373
E3346020,0.0051911193092561,-3.0,0.1719666910445974,0.1344742282956916
E3346020,-0.636335604250047,-1.0,-0.4142885809289026,-0.5355117913274693
E3346020,-0.677313163648712,-137.0,-0.2904008779028085,-0.3596128369753102
E3346020,-0.5636510428251013,-1.0,-0.4339584892129224,-0.4010612508733914
E3346020,-0.0832884312471183,-1.0,0.1794129359493179,0.1782401611166499
E3346020,-0.1870142813313056,0.0,0.024453817831735,0.0458083623886851
E3346020,-0.1898441662026455,0.0,0.0405937885464697,0.1516870039974602
E3346020,-0.0507919426670004,-1.0,0.1788077272994883,0.2851435245949911
E3346020,-0.5095213569828055,-1.0,0.217401486008856,-0.2105692479498474
E3346020,-0.2323749253177949,-2.0,-0.1044214596558551,0.0390901789900015
E3346020,-0.3344813530653548,-1.0,-0.0898342552846717,-0.0861898188249905
E3346020,-0.501871164610627,-1.0,-0.2963721067973824,-0.3956606285548721
E3346020,-0.4068598465226436,0.0,-0.2002900267213584,-0.2747953716498926
N0113010,-0.4098449107207986,-1.0,-0.2942757032562602,-0.3261976199869751
N0113010,-0.3244909507959457,0.0,-0.1473872939414001,-0.2183873929562908
N0113010,-0.465459159513178,0.0,-0.1977132013870663,-0.3149609144414163
N0113010,-0.2964659170670942,0.0,-0.0429603243730897,-0.1993394606659261
N0113010,-0.4137606494494362,-291.0,-0.024043182699503,-0.1463354630585098
N0113010,-0.3333481359594963,-1.0,-0.0194881881340774,-0.1481006407350831
N0113010,-0.4130659103393554,2.0,-0.0343303278736751,-0.0965267681178045
N0113010,-0.2415026924502833,-1.0,-0.1058470863202486,-0.2305705025383622
N0113010,-0.4651568131089043,7.0,-0.2381137140629303,-0.3999246881681287
N0113010,-0.2925021069548276,3.0,0.0192601651902155,-0.1565627029802629
N0113010,-0.4957126971417224,0.0,-0.0150152024339139,-0.1921193092034171
N0113010,0.0643396677137149,-2.0,0.0961997136297927,0.1149293284321533
N0113010,-0.616812255212861,0.0,-0.049157439478211,-0.3227418014974885
N0113010,0.0052715581063094,-1.0,0.0141188216327408,-0.0435140298435563
N0113010,-0.4457430548100378,1.0,-0.2849454423546838,-0.3011368226204918
N0113010,-0.5784356805016733,-61.0,-0.4414978925605581,-0.635770044634252
N0113010,-0.062182709536904,1.0,0.1464808404751119,0.0850409161604341
N0113010,-0.3556715370714484,0.0,-0.1495456749960522,-0.2765447322951623
N0113010,-0.5297356787176116,0.0,-0.1629777090999841,-0.2847550063353435
N0113010,0.0495844682057697,-2.0,0.3344519531721552,0.1340080096259031
N0113010,-0.3897908662361897,4.0,-0.1035270353005022,-0.197272913166284
N0113010,-0.3147707034137924,54.0,-0.0863448247602403,-0.13219198608588
N0113010,-0.1062871050749462,0.0,0.0197716080265162,0.0291861350910862
N0113010,-0.3703968241659091,4.0,-0.0603839715869429,-0.1416606710979648
N0113010,-0.3392381796765702,0.0,-0.2166640565919284,-0.2790144388446512
N0113010,-0.1844860931251953,0.0,-0.070357217244231,-0.2223806406533155
O3314010,-0.3267345428466797,1.0,0.0532262535226106,0.0662979357236679
O3314010,-0.4664682890457118,-2.0,-0.4235709829378317,-0.3937018928054541
O3314010,-0.1158402069512307,0.0,0.040372467778156,0.047719030569133
O3314010,-0.218753220975096,-1.0,-0.1426797677082427,-0.0626039545390492
O3314010,-0.270491962701502,1.0,-0.1944278611206177,-0.1799984586046745
