code,nse,kge,cp,ct,kexc,llr,WI,RC_obs,RC_sim
A0220200,0.73,0.79,377.0443909962972,32.683397674560545,-1.0228505353132884,32.55345344543457,1.4523765,0.25998455286026,0.251242846250534
E3346020,0.78,0.84,259.8750687260781,250.1294160581404,-2.2135784766606745,116.69622778123424,1.1753009557724,0.2732150256633758,0.2837406396865845
J5704810,0.88,0.87,164.75366987784705,946.078090985616,0.0105136269315456,121.9030339717865,1.5988295078277588,0.538382887840271,0.5216038227081299
H7843010,-2.32,-0.08,1078.6368279318208,900.120824036089,-13.69138047533128,143.83695042364806,1.0788027048110962,0.220423087477684,0.1956063210964203
H3403102,0.65,0.79,551.1101611419564,96.20188617438411,-1.8384482481809896,104.93795936384451,0.9750397801399232,0.191028743982315,0.1803850680589676
G4002020,-0.79,0.33,616.9769586301318,2330.070201200597,-16.984735152300665,154.6434517654718,1.3807374238967896,0.2921174764633178,0.2536273598670959
J7803020,0.82,0.82,259.51854375203453,84.77983558773994,-0.3694066929978968,125.82632369995116,1.1827809810638428,0.2817112803459167,0.3190404176712036
A9832010,0.8,0.76,154.281957952734,91.48950045121543,-0.1028394392899481,200.04789260619464,1.2750980854034424,0.3396210968494415,0.391312837600708
I3712010,0.91,0.89,138.20940364490855,183.41677995161567,-0.3304135910743339,101.13883860699542,1.536463975906372,0.4700160026550293,0.4971195757389068
K2724210,0.57,0.65,452.6461911668965,110.53439749923407,-1.2150124858553504,18.407675200817632,1.1747372150421145,0.2125258147716522,0.2065686136484146
O3314010,0.88,0.92,242.1884726547613,444.0816423369617,2.690216917635464,34.790001799420615,2.677525758743286,0.9537953734397888,0.9693273901939392
M1354020,0.78,0.82,233.35415694962688,65.62118144533527,-1.0743024842674609,101.6929248411264,0.9326359629631042,0.1917213946580886,0.1889286041259765
H5142610,0.88,0.88,126.57319330536158,219.2451057096498,0.0543641490692816,99.59855496566908,1.4981814622879028,0.4613654315471649,0.4805347025394439
N0113010,0.8,0.69,122.27000601632254,17.83984843662807,0.2485445208049246,128.95947047642298,0.9837576746940612,0.4185937941074371,0.5335988998413086
Q0115710,0.73,0.83,1238.4214259060946,2066.5068885340834,-12.730742635148944,82.19675191243489,1.677448272705078,0.7315611839294434,0.6974607110023499
L0914020,0.92,0.91,313.7401289273907,118.51426173588418,-0.2868198094754245,56.02783539841295,1.371497631072998,0.3439211845397949,0.3600758612155914
O8255010,0.88,0.86,169.19527838333792,90.15442209658416,-0.4375567616327949,74.74554018766983,1.142844557762146,0.3431580364704132,0.3565996587276459
O9134010,0.83,0.89,609.9178921916697,441.811610397726,-2.7597093916099604,46.18934376405017,1.0055299997329712,0.1590180397033691,0.149508386850357
U0525010,-0.51,-0.5,1.0,1.0,5.100000381469727,182.7312125892905,1.5903098583221436,504.4520568847656,87.07135009765625
S4214010,0.63,0.79,2369.4639138115776,1045.412430392371,-11.491415306925774,128.33658764097424,1.4421393871307373,0.3494784235954284,0.346706211566925
V1325020,0.79,0.82,420.85101524869305,122.48300770619758,-2.647918557762204,33.66494601830504,2.2938780784606934,0.3546909391880035,0.3473941385746002
X2305010,0.48,0.49,2474.76923347242,371.0657716176727,-2.717280644112069,38.64104497793949,1.6697043180465698,0.3320956528186798,0.3613069951534271
P3264310,0.82,0.78,208.3216358053273,51.27430438995361,-0.4757407346804594,51.57267116678173,1.43412446975708,0.315323144197464,0.3632327914237976
U3004010,0.82,0.87,310.65103114201474,235.48027443519004,-0.5739759151752178,95.10557427039514,1.3104262351989746,0.3798287510871887,0.3699187636375427
Y0115410,0.84,0.87,619.2173228263855,863.3898510932922,-2.74216458335286,31.89473170042038,0.9965932369232178,0.7773175239562988,0.7819927930831909
V4145210,0.88,0.81,227.61240327861947,302.8069911473234,1.6721481363826864,31.85196285516444,2.061788558959961,0.6611737608909607,0.7613351941108704
Y1355210,0.83,0.81,317.18393316794567,306.1766330989327,-2.157597074959809,52.09522935067575,1.538010835647583,0.3550044000148773,0.4010517299175262
Y4414030,0.65,0.61,570.431905516659,2228.094588156206,-25.07745098205934,89.83067399909697,1.0077224969863892,0.1981196701526641,0.2079252302646637
Y3315080,0.67,0.76,199.74164709551584,397.2932268011159,-2.941821892071387,34.76110346563931,0.9107707142829896,0.2799313068389892,0.2767621278762817
Y9414020,0.88,0.89,605.7260602163232,516.8764767190685,-3.142415484008582,39.09664505460988,2.2186293601989746,0.7228168845176697,0.7512809634208679
