code,EPF,ELT,ERC,EFF
A0220200,-0.6296457643468639,19.0,-0.5996160127897705,-0.5054645424651834
A0220200,-0.7929189493339848,-1.0,-0.5119034049588086,-0.4735812523805773
A0220200,0.3421730355521575,-1.0,0.2012791327819736,0.4005984132020785
A0220200,-0.5290238273208798,-1.0,-0.1847706080563195,-0.2456630160617321
A0220200,0.6184378417278988,0.0,0.0771382935365683,0.487483799206811
A0220200,-0.08349745166597,-18.0,-0.0251653110835445,0.0764847191546662
A0220200,-0.5754863221613287,2.0,-0.036246730445421,-0.3183696727370426
A0220200,-0.2810131418127281,3.0,0.7762842474602873,0.334154137904638
A0220200,-0.0768952263123895,-5.0,0.2479744532806413,0.1812248538810545
A0220200,-0.2264158313834746,5.0,-0.1454798313301172,-0.2079162699118475
A0220200,-0.1418022516873038,0.0,0.2301502946791878,0.4412395452138593
A0220200,-0.9554028836764114,-44.0,-0.6666417117252008,-0.9031637605504678
A0220200,-0.6718801061312358,0.0,0.1909535875681687,0.0599842612676602
A0220200,-0.6567687710895485,4.0,0.0681137185413198,-0.2252953750640759
A0220200,-0.4580343359799339,6.0,0.5137188810599824,0.3538121833035075
A0220200,0.2650030447297262,0.0,0.1260395960402958,0.1588128297456463
A0220200,1.3123651727184495,0.0,0.1842140030047492,0.3300378850878303
A0220200,-0.4521279930429801,2.0,0.5178005343659065,0.3681167909462892
A0220200,-0.1346327161456495,-1.0,-0.215606125804888,-0.1829054910264026
A0220200,-0.361667389033955,0.0,-0.0628012233112181,0.0300960596583701
A0220200,-0.5725931179391717,21.0,0.4353923991224884,0.0487969011176603
A0220200,-0.2753331652893472,0.0,0.1687951486887369,0.0176646002336275
A0220200,-0.8254791124975239,26.0,0.1032421190673167,-0.0736633382119743
A0220200,-0.1927932235190803,0.0,-0.179937149278883,-0.182108988635965
A0220200,-0.1526112001484192,0.0,0.1819282368561097,0.0742837546769954
A0220200,-0.491742624308217,8.0,-0.0259691846288967,-0.2191777099793679
A0220200,-0.1082270717373592,-1.0,0.1456911583840674,0.0956180791737113
A0220200,-0.1627803336027684,0.0,-0.1398715707849898,-0.1715368387579228
A0220200,-0.1011043599572774,1.0,-0.0423420241256931,0.0447555143574793
A0220200,-0.3107053116797212,14.0,-0.0838468056173599,-0.0832859250579117
A0220200,-0.3345846885491342,-1.0,-0.1436928515096734,-0.1846718363275459
A0220200,-0.4189862571646519,1.0,-0.0679931856748581,-0.0380049896803694
A0220200,0.0392251359440958,0.0,-0.0457823348861479,0.2146890115172255
A0220200,-0.0845952673496426,0.0,-0.385605157004431,-0.2293742432465915
A0220200,-0.3952304738894546,-1.0,-0.3616160184587437,-0.2861533438311874
A0220200,-0.4128846181617472,0.0,-0.3399969007347082,-0.3636163154672961
E3346020,-0.2178726254395135,0.0,0.1281797724635596,0.0254950139660752
E3346020,-0.5169459891810404,-2.0,-0.359318203751492,-0.2676763178169796
E3346020,-0.2218254194239483,1.0,-0.0287726466003758,-0.0020880008640241
E3346020,-0.4935609988315435,0.0,-0.2844968435207948,-0.3994498018848599
E3346020,-0.3999893539664854,-1.0,-0.2834123278183547,-0.1760348553614323
E3346020,-0.4238672614291167,0.0,-0.1825417345711921,-0.3183158227692261
E3346020,-0.4467183531411621,1.0,-0.0020530532415964,-0.2509937529877626
E3346020,-0.1134605458457859,-4.0,-0.0395457365518719,-0.001684848555633
E3346020,-0.308007643977785,2.0,-0.0318052275930627,-0.186075138599787
E3346020,-0.2780310178119374,1.0,0.0716411224229374,-0.0468071597708588
E3346020,-0.2986246018586694,-1.0,0.0771665846153948,-0.0735929360205031
E3346020,-0.356350808896737,0.0,-0.2423168874072971,-0.3063592172309231
