code,nse,kge,cp,ct,kexc,llr,WI,RC_obs,RC_sim
A0220200,0.68,0.75,423.40002,24.645842,-0.7336303,31.482704,1.4523765,0.25998455286026,0.2347228378057479
E3346020,0.67,0.79,350.1344909667969,53.76424407958984,-0.1303664743900299,115.51937866210938,1.1753009557724,0.2732150256633758,0.2792869508266449
J5704810,0.88,0.87,153.3762664794922,952.149658203125,0.0415769778192043,131.92369079589844,1.5988295078277588,0.538382887840271,0.5166012048721313
H7843010,-4.31,-0.44,517.4862060546875,1999.2945556640625,-2.0022952556610107,151.6448974609375,1.0788027048110962,0.220423087477684,0.1755849123001098
H3403102,0.41,0.69,560.2127685546875,108.267822265625,-0.6366536617279053,104.52621459960938,0.9750397801399232,0.191028743982315,0.1557140201330185
G4002020,-1.47,0.2,489.3831787109375,2752.822509765625,-12.854806900024414,151.01718139648438,1.3807374238967896,0.2921174764633178,0.2284639775753021
J7803020,0.77,0.82,278.1937561035156,61.22825622558594,-0.3149890601634979,125.14064025878906,1.1827809810638428,0.2817112803459167,0.3131424784660339
A9832010,0.79,0.77,159.9728546142578,86.14342498779297,-0.0300044994801282,200.00001525878903,1.2750980854034424,0.3396210968494415,0.384511649608612
I3712010,0.9,0.91,127.52566528320312,191.4464569091797,-0.0800853446125984,94.57928466796876,1.536463975906372,0.4700160026550293,0.4915100336074829
K2724210,0.51,0.57,440.6790771484375,96.99004364013672,-0.9839795231819152,17.627111434936523,1.1747372150421145,0.2125258147716522,0.2031794637441635
O3314010,0.86,0.91,130.10179138183594,490.0993957519531,2.507465124130249,31.799110412597656,2.677525758743286,0.9537953734397888,0.9065799117088318
M1354020,0.76,0.79,240.3189392089844,35.77107620239258,-0.8836606740951538,101.90160369873048,0.9326359629631042,0.1917213946580886,0.1642655432224273
H5142610,0.87,0.89,128.80728149414062,211.5811309814453,0.1404577791690826,78.99927520751953,1.4981814622879028,0.4613654315471649,0.4751789271831512
N0113010,0.79,0.69,122.52537536621094,16.854351043701172,0.2217789590358734,128.9517059326172,0.9837576746940612,0.4185937941074371,0.5334872603416443
Q0115710,0.46,0.72,1419.8648681640625,195.3140106201172,1.7582828998565674,68.6786117553711,1.677448272705078,0.7315611839294434,0.6307023763656616
L0914020,0.91,0.92,343.2013854980469,93.1870574951172,-0.3571897745132446,55.11591339111328,1.371497631072998,0.3439211845397949,0.3566808998584747
O8255010,0.86,0.87,170.42880249023438,85.16650390625,-0.1708199977874755,75.90167236328125,1.142844557762146,0.3431580364704132,0.3475741744041443
O9134010,0.68,0.78,811.0397338867188,79.40870666503906,-1.2378811836242676,42.92429733276367,1.0055299997329712,0.1590180397033691,0.1331027001142501
U0525010,-0.51,-0.51,1.0,1.0,4.999999046325684,192.73263549804688,1.5903098583221436,504.4520568847656,85.37508392333984
S4214010,-0.22,0.29,2312.152099609375,796.8139038085938,-0.4367572069168091,128.63119506835938,1.4421393871307373,0.3494784235954284,0.2891842424869537
V1325020,0.78,0.84,423.39984130859375,102.98756408691406,-2.702731370925904,33.42948532104492,2.2938780784606934,0.3546909391880035,0.3473659157752991
X2305010,0.37,0.51,3000.000244140625,36.45330429077149,-0.2395321279764175,38.20549774169922,1.6697043180465698,0.3320956528186798,0.306704580783844
P3264310,0.82,0.79,212.3673095703125,44.86107635498047,-0.4546875059604645,51.64423751831055,1.43412446975708,0.315323144197464,0.3598811626434326
U3004010,0.78,0.85,325.8072204589844,94.0291519165039,-0.0869338288903236,94.1440887451172,1.3104262351989746,0.3798287510871887,0.3406002819538116
Y0115410,0.71,0.59,36.0196533203125,375.22308349609375,-0.9091559052467346,15.678326606750488,0.9965932369232178,0.7773175239562988,0.4811177849769592
V4145210,0.87,0.83,239.4435577392578,279.94921875,1.5094610452651978,34.10480499267578,2.061788558959961,0.6611737608909607,0.7501055598258972
Y1355210,0.82,0.82,350.1344909667969,309.3917236328125,-1.2699575424194336,39.22986602783203,1.538010835647583,0.3550044000148773,0.3943506181240082
Y4414030,0.26,0.49,193.4498748779297,3999.99853515625,-25.00000190734864,90.3525161743164,1.0077224969863892,0.1981196701526641,0.2362633198499679
Y3315080,0.57,0.4,227.7657165527344,37.88701629638672,-3.741376399993897,33.42948532104492,0.9107707142829896,0.2799313068389892,0.1367640197277069
Y9414020,0.81,0.8,200.00001525878906,263.6462707519531,-0.8881060481071472,29.649290084838867,2.2186293601989746,0.7228168845176697,0.612886905670166
